"","year","age.group","population"
"1",1970,"0-4",1702
"2",1970,"5-9",1690
"3",1970,"10-14",1454
"4",1970,"15-19",1197
"5",1970,"20-24",921
"6",1970,"25-29",692
"7",1970,"30-34",659
"8",1970,"35-39",521
"9",1970,"40-44",457
"10",1970,"45-49",382
"11",1970,"50-54",336
"12",1970,"55-59",273
"13",1970,"60-64",234
"14",1970,"65-69",145
"15",1970,"70+",211
"16",1971,"0-4",1725
"17",1971,"5-9",1689
"18",1971,"10-14",1491
"19",1971,"15-19",1238
"20",1971,"20-24",970
"21",1971,"25-29",734
"22",1971,"30-34",666
"23",1971,"35-39",545
"24",1971,"40-44",468
"25",1971,"45-49",393
"26",1971,"50-54",342
"27",1971,"55-59",280
"28",1971,"60-64",236
"29",1971,"65-69",155
"30",1971,"70+",221
"31",1972,"0-4",1758
"32",1972,"5-9",1688
"33",1972,"10-14",1528
"34",1972,"15-19",1279
"35",1972,"20-24",1019
"36",1972,"25-29",777
"37",1972,"30-34",673
"38",1972,"35-39",570
"39",1972,"40-44",478
"40",1972,"45-49",405
"41",1972,"50-54",347
"42",1972,"55-59",287
"43",1972,"60-64",237
"44",1972,"65-69",164
"45",1972,"70+",224
"46",1973,"0-4",1786
"47",1973,"5-9",1686
"48",1973,"10-14",1564
"49",1973,"15-19",1319
"50",1973,"20-24",1066
"51",1973,"25-29",822
"52",1973,"30-34",679
"53",1973,"35-39",596
"54",1973,"40-44",488
"55",1973,"45-49",418
"56",1973,"50-54",351
"57",1973,"55-59",295
"58",1973,"60-64",238
"59",1973,"65-69",174
"60",1973,"70+",231
"61",1974,"0-4",1816
"62",1974,"5-9",1686
"63",1974,"10-14",1597
"64",1974,"15-19",1361
"65",1974,"20-24",1110
"66",1974,"25-29",868
"67",1974,"30-34",685
"68",1974,"35-39",623
"69",1974,"40-44",497
"70",1974,"45-49",431
"71",1974,"50-54",355
"72",1974,"55-59",303
"73",1974,"60-64",239
"74",1974,"65-69",185
"75",1974,"70+",238
"76",1975,"0-4",1846
"77",1975,"5-9",1693
"78",1975,"10-14",1630
"79",1975,"15-19",1403
"80",1975,"20-24",1154
"81",1975,"25-29",918
"82",1975,"30-34",692
"83",1975,"35-39",652
"84",1975,"40-44",505
"85",1975,"45-49",445
"86",1975,"50-54",359
"87",1975,"55-59",312
"88",1975,"60-64",240
"89",1975,"65-69",196
"90",1975,"70+",246
"91",1976,"0-4",1871
"92",1976,"5-9",1723
"93",1976,"10-14",1634
"94",1976,"15-19",1438
"95",1976,"20-24",1193
"96",1976,"25-29",959
"97",1976,"30-34",733
"98",1976,"35-39",660
"99",1976,"40-44",529
"100",1976,"45-49",454
"101",1976,"50-54",371
"102",1976,"55-59",316
"103",1976,"60-64",246
"104",1976,"65-69",196
"105",1976,"70+",259
"106",1977,"0-4",1901
"107",1977,"5-9",1756
"108",1977,"10-14",1644
"109",1977,"15-19",1476
"110",1977,"20-24",1233
"111",1977,"25-29",1001
"112",1977,"30-34",776
"113",1977,"35-39",668
"114",1977,"40-44",556
"115",1977,"45-49",463
"116",1977,"50-54",385
"117",1977,"55-59",320
"118",1977,"60-64",253
"119",1977,"65-69",197
"120",1977,"70+",265
"121",1978,"0-4",1919
"122",1978,"5-9",1788
"123",1978,"10-14",1656
"124",1978,"15-19",1510
"125",1978,"20-24",1272
"126",1978,"25-29",1040
"127",1978,"30-34",820
"128",1978,"35-39",676
"129",1978,"40-44",584
"130",1978,"45-49",471
"131",1978,"50-54",398
"132",1978,"55-59",324
"133",1978,"60-64",261
"134",1978,"65-69",197
"135",1978,"70+",276
"136",1979,"0-4",1935
"137",1979,"5-9",1823
"138",1979,"10-14",1676
"139",1979,"15-19",1544
"140",1979,"20-24",1313
"141",1979,"25-29",1078
"142",1979,"30-34",868
"143",1979,"35-39",685
"144",1979,"40-44",614
"145",1979,"45-49",480
"146",1979,"50-54",413
"147",1979,"55-59",328
"148",1979,"60-64",270
"149",1979,"65-69",197
"150",1979,"70+",288
"151",1980,"0-4",1979
"152",1980,"5-9",1844
"153",1980,"10-14",1719
"154",1980,"15-19",1576
"155",1980,"20-24",1355
"156",1980,"25-29",1118
"157",1980,"30-34",901
"158",1980,"35-39",729
"159",1980,"40-44",613
"160",1980,"45-49",516
"161",1980,"50-54",424
"162",1980,"55-59",342
"163",1980,"60-64",268
"164",1980,"65-69",200
"165",1980,"70-74",138
"166",1980,"75-79",83
"167",1980,"80+",69
"168",1981,"0-4",2032
"169",1981,"5-9",1854
"170",1981,"10-14",1735
"171",1981,"15-19",1619
"172",1981,"20-24",1403
"173",1981,"25-29",1176
"174",1981,"30-34",940
"175",1981,"35-39",755
"176",1981,"40-44",632
"177",1981,"45-49",532
"178",1981,"50-54",437
"179",1981,"55-59",351
"180",1981,"60-64",275
"181",1981,"65-69",205
"182",1981,"70-74",142
"183",1981,"75-79",87
"184",1981,"80+",73
"185",1982,"0-4",2079
"186",1982,"5-9",1887
"187",1982,"10-14",1756
"188",1982,"15-19",1647
"189",1982,"20-24",1456
"190",1982,"25-29",1225
"191",1982,"30-34",988
"192",1982,"35-39",784
"193",1982,"40-44",652
"194",1982,"45-49",550
"195",1982,"50-54",450
"196",1982,"55-59",361
"197",1982,"60-64",282
"198",1982,"65-69",211
"199",1982,"70-74",146
"200",1982,"75-79",91
"201",1982,"80+",78
"202",1983,"0-4",2147
"203",1983,"5-9",1907
"204",1983,"10-14",1763
"205",1983,"15-19",1678
"206",1983,"20-24",1507
"207",1983,"25-29",1274
"208",1983,"30-34",1038
"209",1983,"35-39",819
"210",1983,"40-44",674
"211",1983,"45-49",567
"212",1983,"50-54",464
"213",1983,"55-59",371
"214",1983,"60-64",289
"215",1983,"65-69",215
"216",1983,"70-74",150
"217",1983,"75-79",95
"218",1983,"80+",82
"219",1984,"0-4",2202
"220",1984,"5-9",1942
"221",1984,"10-14",1788
"222",1984,"15-19",1687
"223",1984,"20-24",1558
"224",1984,"25-29",1322
"225",1984,"30-34",1086
"226",1984,"35-39",862
"227",1984,"40-44",694
"228",1984,"45-49",585
"229",1984,"50-54",480
"230",1984,"55-59",383
"231",1984,"60-64",297
"232",1984,"65-69",220
"233",1984,"70-74",154
"234",1984,"75-79",97
"235",1984,"80+",86
"236",1985,"0-4",2279
"237",1985,"5-9",1975
"238",1985,"10-14",1826
"239",1985,"15-19",1696
"240",1985,"20-24",1590
"241",1985,"25-29",1378
"242",1985,"30-34",1140
"243",1985,"35-39",907
"244",1985,"40-44",714
"245",1985,"45-49",604
"246",1985,"50-54",496
"247",1985,"55-59",395
"248",1985,"60-64",305
"249",1985,"65-69",228
"250",1985,"70-74",155
"251",1985,"75-79",100
"252",1985,"80+",90
"253",1986,"0-4",2351
"254",1986,"5-9",2027
"255",1986,"10-14",1844
"256",1986,"15-19",1710
"257",1986,"20-24",1621
"258",1986,"25-29",1430
"259",1986,"30-34",1196
"260",1986,"35-39",954
"261",1986,"40-44",742
"262",1986,"45-49",624
"263",1986,"50-54",513
"264",1986,"55-59",408
"265",1986,"60-64",313
"266",1986,"65-69",233
"267",1986,"70-74",158
"268",1986,"75-79",103
"269",1986,"80+",95
"270",1987,"0-4",2403
"271",1987,"5-9",2083
"272",1987,"10-14",1883
"273",1987,"15-19",1727
"274",1987,"20-24",1642
"275",1987,"25-29",1479
"276",1987,"30-34",1248
"277",1987,"35-39",1003
"278",1987,"40-44",775
"279",1987,"45-49",641
"280",1987,"50-54",532
"281",1987,"55-59",422
"282",1987,"60-64",323
"283",1987,"65-69",239
"284",1987,"70-74",165
"285",1987,"75-79",103
"286",1987,"80+",100
"287",1988,"0-4",2451
"288",1988,"5-9",2154
"289",1988,"10-14",1906
"290",1988,"15-19",1738
